City_ID,City,Country,Max Temp,Weather Description,Lat,Lng,Hotel Name
154,Saint-Leu,RE,68.83,light rain,-21.15,55.2833,La Caz Oceane
155,Slave Lake,CA,55.38,overcast clouds,55.2834,-114.769,Super 8 by Wyndham Slave Lake AB
157,Road Town,VG,86.09,few clouds,18.4167,-64.6167,"ZINGARA 76ft Catamaran, full crew-all included"
159,Matara,LK,75.54,overcast clouds,5.9485,80.5353,Amaloh Boutique Resort
160,Shingu,JP,64.85,clear sky,33.7333,135.9833,Shingu UI Hotel
162,Kasama,ZM,67.14,clear sky,-10.2129,31.1808,Kalebalika Cottages
163,Jibuti,DJ,76.95,clear sky,11.5,42.5,Orchid Main Camp Goubet
164,Awbari,LY,77.76,clear sky,26.5921,12.7805,استراحة الشارب العائلي
165,Berlevag,NO,35.6,clear sky,70.8578,29.0864,Kvitbrakka
166,Tamiahua,MX,84.6,few clouds,21.2667,-97.45,Mission Of The Sun Hotel
168,Suhut,TR,53.8,overcast clouds,38.5311,30.5458,YENİ UFUK ERKEK ÖĞRENCİ YURDU
169,Kongolo,CD,76.53,few clouds,-5.3833,27.0,GUEST HOUSE OASIS
170,Hambantota,LK,78.15,overcast clouds,6.1241,81.1185,Bungalow 63
171,Severo-Kurilsk,RU,44.91,few clouds,50.6789,156.125,Kak Doma
173,Ahipara,NZ,60.01,scattered clouds,-35.1667,173.1667,Ahipara Holiday Park
175,Nizwa,OM,72.68,clear sky,22.9333,57.5333,Orient Apartments
176,Rawson,AR,67.03,clear sky,-43.3002,-65.1023,Hosteria Sampedro
178,Wagga Wagga,AU,54.61,clear sky,-35.1167,147.3667,The Club Motel and Apartments
179,Duliagaon,IN,70.16,scattered clouds,27.3667,95.3167,Kanchanjongha Complex
180,Kaohsiung,TW,78.04,broken clouds,22.6163,120.3133,御宿商旅-中山館
181,Nhulunbuy,AU,77.61,scattered clouds,-12.2333,136.7667,East Arnhem Real Estate
184,Redmond,US,77.43,clear sky,47.674,-122.1215,Seattle Marriott Redmond
185,Korla,CN,51.62,few clouds,41.7597,86.1469,Gulisitan Hotel
186,Gemena,CD,72.25,overcast clouds,3.25,19.7667,Hôtel Goshen
187,Savannah Bight,HN,83.77,overcast clouds,16.45,-85.85,Villa on Dunbar Rock
188,Kapaa,US,87.78,few clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
189,Erenhot,CN,42.87,few clouds,43.6475,111.9767,Erenhot Rurouni Youth Hostel
190,Grindavik,IS,39.67,broken clouds,63.8424,-22.4338,Northern Light Inn & Max's Restaurant
192,Stephenville,US,88.77,clear sky,32.2207,-98.2023,La Quinta Inn & Suites by Wyndham Stephenville
193,Palamos,ES,65.8,clear sky,41.8484,3.1291,Hotel Rosamar
194,Xochistlahuaca,MX,80.98,moderate rain,16.7833,-98.25,La frontera
196,Nogliki,RU,44.1,overcast clouds,51.8333,143.1667,"Hotel ""Nogliki"""
197,Hasaki,JP,70.21,light rain,35.7333,140.8333,Inubosaki Kanko Hotel
198,Pipri,IN,69.4,broken clouds,19.8,75.5333,Sukhana River nilu and rushi home
199,Mecca,SA,81.7,few clouds,21.4267,39.8261,"Makkah Clock Royal Tower, A Fairmont Hotel"
200,Sao Joao Da Barra,BR,77.09,clear sky,-21.6403,-41.0511,Pousada Porto De Canoas
201,Khatanga,RU,30.51,light snow,71.9667,102.5,"""Khatanga"""
202,San Patricio,US,90.32,broken clouds,28.017,-97.5169,"Motel 6 Sinton, TX"
203,Bredasdorp,ZA,57.7,light rain,-34.5322,20.0403,Bredasdorp Country Manor
204,Petatlan,MX,87.6,moderate rain,17.5167,-101.2667,Hotel California Petatlán
205,Chimore,BO,74.39,overcast clouds,-16.9833,-65.1333,Bichito
208,Rocha,UY,53.17,few clouds,-34.4833,-54.3333,Hotel Arrarte
209,Marsa Matruh,EG,72.95,overcast clouds,31.3525,27.2453,Beau Site
210,Puerto Madryn,AR,69.03,clear sky,-42.7692,-65.0385,Hotel Tolosa
213,Dongtai,CN,54.93,clear sky,32.8523,120.3095,Super 8 Dongtai South Hailing Road
214,Acajutla,SV,82.22,overcast clouds,13.5928,-89.8275,CASA DE LA PERRA
216,Nsanje,MW,78.33,clear sky,-16.92,35.262,Nsanje Discovery Lodge
217,Ulvik,NO,43.18,light rain,60.5672,6.9187,Ulvik Hotel
218,Tukrah,LY,72.27,light rain,32.5341,20.5791,Lagrota restaurant
219,Lata,PT,63.07,scattered clouds,40.1629,-8.3327,Casa Maquia
220,Asau,RO,49.28,overcast clouds,46.4333,26.4,Casa Mika Ciobanus
221,Pangai,TO,78.91,thunderstorm with light rain,-19.8,-174.35,Ha'apai Beach Resort
222,Srikakulam,IN,76.35,broken clouds,18.3,83.9,Micro Systems
223,Moerai,PF,72.82,scattered clouds,-22.4333,-151.3333,Le Manotel
224,Muros,ES,65.08,few clouds,42.7762,-9.0603,Apartment Av. Castelao
225,Pandan,PH,79.2,few clouds,14.0453,124.1694,Bonifacio Lodge
226,Puerto Leguizamo,CO,89.46,overcast clouds,-0.1934,-74.7819,la casona de juancho
227,Valley City,US,43.32,overcast clouds,46.9233,-98.0032,AmericInn by Wyndham Valley City Conference Center
228,Starkville,US,78.78,clear sky,33.4504,-88.8184,Hilton Garden Inn Starkville
229,Linxia,CN,47.66,overcast clouds,35.6003,103.2064,GreenTree Inn Linxia Autonomous Prefecture Linxia Oxford River Avenue Express Hotel
230,Maputo,MZ,76.68,scattered clouds,-25.9653,32.5892,Pestana Rovuma
231,Samarai,PG,81.52,broken clouds,-10.6167,150.6667,Nuli Sapi
232,Ritchie,ZA,73.53,scattered clouds,-29.038,24.6028,Riverside Country Club Modderrivier
233,Bengkulu,ID,74.34,overcast clouds,-3.8004,102.2655,Grage Hotel Bengkulu
234,Barsovo,RU,39.33,overcast clouds,61.1667,73.1667,Dipanjan Goswami
235,Medicine Hat,CA,70.23,overcast clouds,50.0501,-110.6683,Sun Dek Motel
236,Manacor,ES,69.84,clear sky,39.5696,3.2096,Hotel Can Guixa
238,Esperance,AU,50.43,clear sky,-33.8667,121.9,Hospitality Esperance
239,Shelburne,CA,53.24,scattered clouds,44.0787,-80.2041,The Retreat at the Farm
240,Husavik,IS,35.96,overcast clouds,66.0449,-17.3389,Bjarnabúð
242,Weyburn,CA,50.22,clear sky,49.6668,-103.8511,Perfect Inns & Suites
243,Buala,SB,82.0,overcast clouds,-8.145,159.5921,Maringe Lagoon Lodge
244,Avarua,CK,80.65,broken clouds,-21.2078,-159.775,Paradise Inn
245,Mana,GF,80.38,moderate rain,5.6592,-53.7767,LE SAMANA
246,Trincomalee,LK,78.4,overcast clouds,8.5711,81.2335,Welcombe Hotel
247,Mocuba,MZ,72.32,clear sky,-16.8392,36.9856,Phama Lodge
248,Vila Velha,BR,76.95,broken clouds,-20.3297,-40.2925,Hotel Vitória Palace
249,Vila,PT,54.48,clear sky,42.0304,-8.1588,Hotel Castrum Villae by Walk Hotels
251,Bonthe,SL,77.83,overcast clouds,7.5264,-12.505,Bonthe Holiday Village
252,Rockhampton,AU,73.29,clear sky,-23.3833,150.5,Mercure Rockhampton
253,Namibe,AO,67.73,broken clouds,-15.1961,12.1522,Hotel Chik Chik Namibe
254,Ilawe,NG,70.79,overcast clouds,7.8667,4.4333,MR SALAM LODGE
255,Zatoka,UA,56.37,clear sky,46.0725,30.4654,Sonyachna
256,Ulladulla,AU,56.39,clear sky,-35.35,150.4667,Sandpiper Motel
257,Sao Francisco De Paula,BR,50.38,overcast clouds,-29.4481,-50.5836,Hotel Village da Serra
258,Fasa,IR,58.24,clear sky,28.9383,53.6482,Fasa University Boys' Dormitory
260,Garowe,SO,76.64,scattered clouds,8.4054,48.4845,Sacaada Hotel
261,Catalina Foothills,US,90.55,few clouds,32.2979,-110.9187,The Westin La Paloma Resort & Spa
262,Kendari,ID,74.66,overcast clouds,-3.945,122.4989,Hotel Wixel
263,Jalu,LY,73.8,overcast clouds,29.0331,21.5482,صاحبة الفخامة
264,Clarence Town,AU,61.99,clear sky,-32.5833,151.7833,River Downs Cottage
265,Paliyad,IN,79.3,few clouds,22.25,71.5667,આપણું બોટાદ
269,Novodolinskiy,KZ,36.18,overcast clouds,49.705,72.7047,Дубовая аллея Зелентрест
270,Hofn,IS,39.99,scattered clouds,64.2539,-15.2082,Hótel Höfn
271,Fortuna,US,59.99,clear sky,40.5982,-124.1573,Super 8 by Wyndham Fortuna
272,Bay Roberts,CA,55.26,broken clouds,47.5999,-53.2648,Stonewall Inn
273,Palana,RU,32.16,light snow,59.1167,159.9667,Chikago
274,Khani,GE,47.77,overcast clouds,41.9563,42.9566,Guest House Kakasxidi სასტუმრო კაკასხიდი
275,Isiolo,KE,69.28,broken clouds,0.3546,37.5822,Gaddisa Hotel
276,Kulhudhuffushi,MV,81.23,overcast clouds,6.6221,73.07,Haajy Guest House 1
277,Eirunepe,BR,76.24,moderate rain,-6.6603,-69.8736,Hotel novo Acre & Comercial Aguiar
278,Vanimo,PG,77.02,overcast clouds,-2.6741,141.3028,Vahmoneh Lodge Vanimo
279,Port Hardy,CA,51.98,fog,50.6996,-127.4199,Airport Inn-Port Hardy
280,Trindade,BR,91.15,clear sky,-16.6494,-49.4889,Pousada Central
281,Corner Brook,CA,51.96,overcast clouds,48.9667,-57.9484,Glynmill Inn
282,Port Hedland,AU,60.85,clear sky,-20.3167,118.5667,The Esplanade Hotel
283,Dingle,PH,75.72,scattered clouds,10.9995,122.6711,SEGAYA PROPERTY
284,Kozhva,RU,34.32,broken clouds,65.1073,57.0459,Gostinicha IP Kayuda Olga Aleksandrovna
285,Melville,US,69.85,clear sky,40.7934,-73.4151,Marriott Melville Long Island
286,Aswan,EG,77.92,clear sky,24.0934,32.907,Nuba Nile
287,Dubbo,AU,50.13,clear sky,-32.25,148.6167,Quality Inn Dubbo International
289,Fare,PF,78.94,clear sky,-16.7,-151.0167,Maitai Lapita Village Huahine
290,Coolum Beach,AU,70.11,scattered clouds,-26.5333,153.1,Coolum Beach Resort
291,Lasem,ID,76.96,heavy intensity rain,-6.6922,111.4527,"Nyah Lasem | Museum, Warung & Community Center"
292,Beruwala,LK,76.93,overcast clouds,6.4788,79.9828,The Palms Hotel
293,Zhanakorgan,KZ,55.47,broken clouds,43.9098,67.2495,"""Ақпалас"" қонақ үйі"
294,Puerto Escondido,MX,84.16,light rain,15.85,-97.0667,Aldea del Bazar Hotel and Spa
295,Pontianak,ID,76.98,broken clouds,-0.0333,109.3333,Aston Pontianak Hotel & Convention Center
297,Prince Rupert,CA,59.09,overcast clouds,54.3161,-130.3201,Crest Hotel
298,Chabahar,IR,79.32,clear sky,25.2919,60.643,هتل گدروشیا
299,Saldanha,ZA,57.25,clear sky,-33.0117,17.9442,Blue Bay Lodge
300,Bud,US,67.05,clear sky,39.447,-86.1758,Ted McQuinn Trust
301,Senanga,ZM,72.66,overcast clouds,-16.1167,23.2667,Zango lodge
302,Tacoronte,ES,69.17,fog,28.4769,-16.4102,Casa Laurel
303,Umm Lajj,SA,81.54,clear sky,25.0213,37.2685,Moon light Furnished Units
304,Sao Filipe,CV,77.94,broken clouds,14.8961,-24.4956,Hotel Xaguate
305,Akureyri,IS,37.33,overcast clouds,65.6835,-18.0878,Akureyri - Berjaya Iceland Hotels
306,Hualmay,PE,66.02,clear sky,-11.0964,-77.6139,Hotel Villa Kitzia Huacho
307,Upata,VE,76.42,broken clouds,8.0086,-62.3989,Posada Villa Nela
308,Melfort,CA,48.33,few clouds,52.8667,-104.6177,Carra Valla Inn
309,Along,IN,65.03,scattered clouds,28.1667,94.7667,Hotel West
310,Traverse City,US,46.51,overcast clouds,44.7631,-85.6206,Bayshore Resort
312,Krasnoselkup,RU,33.08,overcast clouds,65.7,82.4667,Krasnosel'kupnefteprodukt
313,Silifke,TR,70.63,overcast clouds,36.3778,33.9344,Ayatekla Hotel
315,Cabinda,AO,77.5,overcast clouds,-5.55,12.2,Hotel Maiombe
316,Zhezkazgan,KZ,51.06,broken clouds,47.8043,67.7144,Hotel Zumrat
318,Kieta,PG,81.09,overcast clouds,-6.2167,155.6333,Uruna Bay Retreat
319,Nisia Floresta,BR,79.61,clear sky,-6.0911,-35.2086,Rancho Crepusculo
320,Prieska,ZA,74.79,broken clouds,-29.6641,22.7474,Avenue GuestHouse
321,Raudeberg,NO,47.07,broken clouds,61.9875,5.1352,Nordre Silda.
322,Port Lincoln,AU,54.66,overcast clouds,-34.7333,135.8667,Port Lincoln Hotel
323,Bathsheba,BB,84.81,scattered clouds,13.2167,-59.5167,Atlantis Hotel
324,Isangel,VU,77.11,broken clouds,-19.55,169.2667,Tanna Lodge
326,Talnakh,RU,36.21,moderate rain,69.4865,88.3972,Talnakh Hotel
328,Bilgoraj,PL,50.67,broken clouds,50.5411,22.722,Dodo
329,Farmington,US,75.15,clear sky,36.7281,-108.2187,Courtyard by Marriott Farmington
332,Bambanglipuro,ID,76.15,overcast clouds,-7.95,110.2833,Puri Brata
333,Meulaboh,ID,75.11,overcast clouds,4.1363,96.1285,Kost Pria
334,Mendi,PG,55.04,overcast clouds,-6.1761,143.6513,Kiburu Lodge
335,Motril,ES,74.26,clear sky,36.7507,-3.5179,Elba Motril Hotel Beach & Business Hotel
336,Neuquen,AR,69.69,clear sky,-38.9516,-68.0591,Hotel del Comahue
337,Nemuro,JP,56.88,overcast clouds,43.3236,145.575,Hotel Nemuro Kaiyoutei
338,Povenets,RU,46.89,light rain,62.8487,34.8262,Eko Otel' Bol'shaya Medveditsa
340,Klaksvik,FO,43.72,light rain,62.2266,-6.589,Airbnb rooms
341,Faanui,PF,79.05,few clouds,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
342,Ancud,CL,53.83,scattered clouds,-41.8697,-73.8203,Hotel Arena Gruesa
343,Fomboni,KM,76.21,clear sky,-12.28,43.7425,Auberge les abou
344,Zarand,IR,65.95,clear sky,30.8127,56.564,مهمانسرای فناپ
346,Bandarbeyla,SO,76.91,scattered clouds,9.4942,50.8122,JABIR HOTEL
348,Ishikari,JP,59.25,overcast clouds,43.2397,141.3539,ザ・吉岡
349,Gatton,AU,66.42,clear sky,-27.55,152.2833,Room Motels Gatton
350,Agnibilekrou,CI,71.1,moderate rain,7.1344,-3.2047,"J'AIME ATTOBRO, (Mon Village)"
351,Santiago Del Estero,AR,77.23,few clouds,-27.7951,-64.2615,Apartamentos Castelli 90
352,Yanam,IN,75.9,overcast clouds,16.7333,82.2167,The Regency Hotel
353,Comodoro Rivadavia,AR,71.46,clear sky,-45.8667,-67.5,Austral Hotel
354,Bilma,NE,82.35,clear sky,18.6853,12.9164,Expeditions Ténére voyages
355,Roma,US,62.08,few clouds,43.2128,-75.4557,Wingate By Wyndham Rome
356,Shambu,ET,51.82,broken clouds,9.5667,37.1,Wabe Hotel
358,Urumqi,CN,50.95,clear sky,43.801,87.6005,Hua Ling Grand Hotel Urumqi
359,Waingapu,ID,78.15,broken clouds,-9.6567,120.2641,Pondok Wisata Elim
360,Maine-Soroa,NE,86.27,scattered clouds,13.2114,12.0241,Complexe
361,Jacareacanga,BR,78.67,overcast clouds,-6.2222,-57.7528,Casa do Ian😎
362,Quang Ngai,VN,72.97,overcast clouds,15.1167,108.8,Central Hotel
364,Constitucion,CL,60.58,clear sky,-35.3333,-72.4167,Hotel Boutique Las Azucenas
365,Mahanje,TZ,61.29,clear sky,-9.9333,35.3333,Amani social Hall
366,Porto Seguro,BR,75.72,few clouds,-16.4497,-39.0647,Porto Cálem Praia Hotel
367,Derzhavinsk,KZ,49.44,broken clouds,51.1,66.3167,Ooo.khim Baza
368,Mar Del Plata,AR,51.94,clear sky,-38.0023,-57.5575,Gran Hotel Mar del Plata
