City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Weather Description
79,Jutai,BR,-5.1833,-68.9,80.28,87,98,3.94,moderate rain
80,Bluff,NZ,-46.6,168.3333,56.8,68,2,6.26,clear sky
81,Puerto Ayora,EC,-0.7393,-90.3518,78.76,87,96,7.0,overcast clouds
82,Kodiak,US,57.79,-152.4072,47.71,71,100,19.57,overcast clouds
83,Arraial Do Cabo,BR,-22.9661,-42.0278,76.86,78,0,16.11,clear sky
84,Rio Grande,BR,-32.035,-52.0986,62.71,61,16,16.53,few clouds
85,Vestmannaeyjar,IS,63.4427,-20.2734,40.46,65,8,5.32,clear sky
86,Kahului,US,20.8947,-156.47,87.82,73,40,9.22,scattered clouds
87,Avarua,CK,-21.2078,-159.775,78.85,78,75,10.36,broken clouds
88,Coihaique,CL,-45.5752,-72.0662,57.15,44,0,8.05,clear sky
89,Richards Bay,ZA,-28.783,32.0377,70.63,83,85,11.56,light rain
90,Hailey,US,43.5196,-114.3153,72.0,32,0,11.5,clear sky
91,Phangnga,TH,8.4509,98.5298,77.04,95,100,3.44,overcast clouds
92,Iqaluit,CA,63.7506,-68.5145,31.73,86,75,10.36,broken clouds
93,Lulea,SE,65.5842,22.1547,39.27,100,100,1.14,light rain
94,Broome,US,42.2506,-75.833,64.45,45,20,9.22,few clouds
95,Laurel,US,39.0993,-76.8483,69.94,44,0,9.22,clear sky
96,Baykit,RU,61.67,96.37,32.97,76,100,3.94,overcast clouds
97,Barrow,US,71.2906,-156.7887,28.42,64,100,13.8,overcast clouds
98,Wagar,SD,16.1525,36.2032,87.3,40,54,11.88,broken clouds
99,Zhigansk,RU,66.7697,123.3711,17.76,95,99,5.39,overcast clouds
100,Provideniya,RU,64.3833,-173.3,27.99,80,75,8.19,broken clouds
101,Tabou,CI,4.423,-7.3528,75.52,90,91,7.14,light rain
102,Melfort,CA,52.8667,-104.6177,44.73,42,17,11.5,few clouds
103,Chokurdakh,RU,70.6333,147.9167,12.09,96,98,7.56,overcast clouds
104,Buribay,RU,51.9617,58.1592,44.65,83,100,8.72,overcast clouds
105,Halifax,CA,44.6453,-63.5724,64.69,89,75,14.97,broken clouds
106,Chuy,UY,-33.6971,-53.4616,55.72,59,13,10.38,few clouds
107,Vila Velha,BR,-20.3297,-40.2925,78.75,84,40,13.8,scattered clouds
108,Naze,JP,28.3667,129.4833,77.92,89,95,16.62,light rain
109,Sioux Lookout,CA,50.1001,-91.917,41.07,65,75,5.75,broken clouds
110,Wanning,CN,18.8003,110.3967,77.49,82,100,15.82,overcast clouds
111,Isangel,VU,-19.55,169.2667,73.51,68,72,4.61,broken clouds
112,Hastings,GB,50.8552,0.5729,58.75,95,96,10.33,overcast clouds
113,Lazaro Cardenas,MX,17.9583,-102.2,83.98,77,96,5.53,light rain
114,Muros,ES,42.7762,-9.0603,65.08,90,22,7.07,few clouds
115,Anloga,GH,5.7947,0.8973,79.02,82,100,10.38,overcast clouds
116,Kruisfontein,ZA,-34.0033,24.7314,59.49,92,100,14.9,overcast clouds
117,Charters Towers,AU,-20.1,146.2667,70.75,85,28,8.08,scattered clouds
118,Ramsar,IR,36.9226,50.6426,69.24,88,75,2.3,broken clouds
119,Dondo,MZ,-19.6094,34.7431,76.51,90,0,5.93,clear sky
120,Toyooka,JP,35.5333,134.8333,58.01,92,35,1.83,scattered clouds
121,Bilibino,RU,68.0546,166.4372,-6.02,99,99,2.33,overcast clouds
122,Kilindoni,TZ,-7.9139,39.6668,75.69,74,1,15.28,clear sky
123,Luanda,AO,-8.8368,13.2343,77.0,78,75,12.66,broken clouds
124,Lubango,AO,-14.9172,13.4925,64.99,65,61,3.51,broken clouds
125,Torbay,CA,47.6666,-52.7314,56.39,77,37,1.99,scattered clouds
126,Saldanha,ZA,-33.0117,17.9442,59.05,85,2,18.75,clear sky
127,Nouadhibou,MR,20.931,-17.0347,71.58,78,0,17.27,clear sky
128,Bonavista,CA,48.6499,-53.1147,54.32,77,28,6.96,scattered clouds
129,Qaanaaq,GL,77.484,-69.3632,12.7,82,36,4.56,scattered clouds
130,Dunedin,NZ,-45.8742,170.5036,49.8,72,8,3.0,clear sky
131,Cerro Azul,MX,21.2,-97.7333,86.4,60,16,8.52,few clouds
132,Buin,CL,-33.7333,-70.75,82.72,23,0,3.38,clear sky
133,Tukrah,LY,32.5341,20.5791,72.27,73,73,17.54,light rain
134,Kalaswala,PK,32.2009,74.6491,73.36,47,0,1.23,clear sky
135,Bredasdorp,ZA,-34.5322,20.0403,57.7,83,100,10.4,light rain
136,Souillac,MU,-20.5167,57.5167,71.98,68,40,14.97,scattered clouds
137,Warri,NG,5.5167,5.75,72.59,91,100,3.15,overcast clouds
138,Lalmohan,BD,22.3384,90.7419,79.11,85,0,7.07,clear sky
139,Upernavik,GL,72.7868,-56.1549,26.49,88,97,18.05,overcast clouds
140,Umm Kaddadah,SD,13.6017,26.6876,85.64,19,2,10.98,clear sky
141,Lebu,CL,-37.6167,-73.65,54.55,75,3,21.54,clear sky
142,Severo-Kurilsk,RU,50.6789,156.125,44.91,89,20,8.01,few clouds
143,Ixtapa,MX,20.7,-105.2,87.22,70,40,8.05,scattered clouds
144,Palmer,US,42.1584,-72.3287,64.0,74,40,1.01,scattered clouds
145,Virginia Beach,US,36.8529,-75.978,69.85,54,40,5.75,scattered clouds
146,Dikson,RU,73.5069,80.5464,33.04,98,100,24.11,overcast clouds
147,Ulaangom,MN,49.9811,92.0667,31.23,46,0,5.14,clear sky
148,Otradnoye,RU,59.7775,30.8181,48.25,82,100,7.05,overcast clouds
149,Srednekolymsk,RU,67.45,153.6833,9.3,96,100,6.35,overcast clouds
150,Romitan,UZ,39.9343,64.3814,60.75,39,0,9.22,clear sky
151,Castleblayney,IE,54.1167,-6.7333,45.81,95,0,6.53,clear sky
152,Havoysund,NO,70.9963,24.6622,41.23,81,41,8.97,scattered clouds
153,Celestun,MX,20.8667,-90.4,85.14,68,64,5.41,light rain
